filename,width,height,class,xmin,ymin,xmax,ymax
receipt1.jpg,750,1000,total,135,719,669,803
receipt10.jpg,750,1000,total,347,592,564,633
receipt11.jpg,348,348,total,71,249,279,270
receipt12.jpg,750,1000,total,53,772,682,817
receipt13.jpg,750,1000,total,294,504,608,548
receipt14.jpg,582,1000,total,56,571,525,609
receipt15.jpg,750,1000,total,77,725,669,792
receipt16.jpg,750,1000,total,150,744,588,796
receipt17.jpg,750,1000,total,277,722,653,769
receipt18.jpg,750,1000,total,262,687,591,762
receipt19.jpg,750,1000,total,107,645,679,693
receipt2.jpg,645,1000,total,211,501,513,535
receipt20.jpg,750,1000,total,113,741,750,796
receipt21.jpg,348,348,total,67,243,281,276
receipt22.jpg,750,1000,total,95,629,487,666
receipt23.jpg,1000,750,total,132,650,896,727
receipt24.jpg,750,1000,total,227,618,585,667
receipt25.jpg,750,1000,total,168,573,597,617
receipt3.jpg,750,1000,total,324,682,644,731
receipt4.jpg,750,1000,total,187,537,368,574
receipt5.jpg,750,1000,total,168,452,530,506
receipt6.jpg,750,1000,total,114,671,648,712
receipt7.jpg,750,1000,total,151,676,556,720
receipt8.jpg,258,258,total,25,227,131,246
receipt9.jpg,750,1000,total,11,833,715,877
